Run,Final_avgSP,Final_maxSP,Num_Iterations,Total_Time,Best_Iteration,Best_avgSP,Solution
1.000000,143.085000,998.000000,32.000000,30.467490,9.000000,143.085000,[91  108  173   20  163  131   30   65   90  107  146   68]
2.000000,143.085000,998.000000,32.000000,30.332779,7.000000,143.085000,[91  108   68   20   90   30  163  107   65  131  146  173]
3.000000,143.085000,998.000000,32.000000,30.574705,18.000000,143.085000,[91  108  173   20  163   30  131  107   65   90  146   68]
4.000000,143.085000,998.000000,29.000000,30.762976,5.000000,143.085000,[91  108   20  173   30   90   65   68  163  146  107  131]
5.000000,143.085000,998.000000,30.000000,30.172641,16.000000,143.085000,[91  108   20  131  163  173   65   90   68  107  146   30]
6.000000,143.085000,998.000000,30.000000,30.500428,6.000000,143.085000,[91  108  173   20  163  131   30   65   90  107   68  146]
7.000000,143.085000,998.000000,31.000000,30.910003,4.000000,143.085000,[91  108   20  173   30  131   90   68  163  107  146   65]
8.000000,143.085000,998.000000,31.000000,30.084568,1.000000,143.085000,[91  108  173   20  163   90   30   65  107  131  146   68]
9.000000,143.085000,998.000000,31.000000,30.002416,8.000000,143.085000,[91  108   68   20  131   30  146  107   90   65  163  173]
10.000000,143.085000,998.000000,31.000000,30.525348,4.000000,143.085000,[91  108  173   20  163   90   30   68  146  107   65  131]
